city,latitude,longitude,mean_temp
Seattle,47.606209,-122.33206899999999,52.404680365296805
Los Angeles,34.052231,-118.243683,64.52123287671233
Chicago,41.850029,-87.650047,52.0087899543379
Miami,25.774269,-80.193657,76.6445205479452
New York,40.714271999999994,-74.005966,54.788356164383565
